transaction_id,true_label,v1_fm,v1_outcome,v2_agentcore rt,v2_outcome,v3_agentcore rt + memo,v3_outcome,behavioral_score,risk_factors
51,SUSPICIOUS,FRAUD,TP,SUSPICIOUS,TP,FRAUD,TP,65,Country differs from customer pattern | Merchant category differs from customer pattern | High-risk merchant
52,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,100,Amount deviates from customer behavior | Country differs from customer pattern | Transaction velocity abnormal | Device recently changed | High-risk merchant
53,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,75,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern
54,LEGIT,SUSPICIOUS,FP,LEGIT,TN,FRAUD,FP,60,Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed
55,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,SUSPICIOUS,TP,45,Country differs from customer pattern | Merchant category differs from customer pattern
56,LEGIT,SUSPICIOUS,FP,LEGIT,TN,SUSPICIOUS,FP,40,Country differs from customer pattern | Device recently changed
57,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,60,Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed
58,FRAUD,FRAUD,TP,FRAUD,TP,SUSPICIOUS,TP,40,Transaction velocity abnormal | High-risk merchant
59,FRAUD,FRAUD,TP,FRAUD,TP,SUSPICIOUS,TP,35,Transaction velocity abnormal | Device recently changed
60,LEGIT,SUSPICIOUS,FP,LEGIT,TN,SUSPICIOUS,FP,45,Country differs from customer pattern | Merchant category differs from customer pattern
61,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,100,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | Device recently changed
62,LEGIT,SUSPICIOUS,FP,LEGIT,TN,FRAUD,FP,90,Amount deviates from customer behavior | Merchant category differs from customer pattern | Transaction velocity abnormal | High-risk merchant
63,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,60,Country differs from customer pattern | Device recently changed | High-risk merchant
64,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,60,Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed
65,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,80,Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | Device recently changed
66,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,75,Amount deviates from customer behavior | Country differs from customer pattern | High-risk merchant
67,LEGIT,LEGIT,TN,LEGIT,TN,LEGIT,TN,20,Merchant category differs from customer pattern
68,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,95,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal
69,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,80,Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed | High-risk merchant
70,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,60,Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed
71,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,65,Amount deviates from customer behavior | Merchant category differs from customer pattern | Device recently changed
72,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,SUSPICIOUS,TP,45,Country differs from customer pattern | Merchant category differs from customer pattern
73,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,100,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | High-risk merchant
74,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,85,Amount deviates from customer behavior | Merchant category differs from customer pattern | Transaction velocity abnormal | Device recently changed
75,FRAUD,FRAUD,TP,FRAUD,TP,SUSPICIOUS,TP,55,Transaction velocity abnormal | Device recently changed | High-risk merchant
76,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,95,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal
77,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,85,Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | High-risk merchant
78,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,SUSPICIOUS,TP,45,Country differs from customer pattern | High-risk merchant
79,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,100,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | Device recently changed
80,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,100,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | High-risk merchant
81,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,100,Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | Device recently changed | High-risk merchant
82,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,85,Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | High-risk merchant
83,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,100,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | Device recently changed | High-risk merchant
84,FRAUD,SUSPICIOUS,TP,FRAUD,TP,SUSPICIOUS,TP,55,Merchant category differs from customer pattern | Transaction velocity abnormal | Device recently changed
85,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,90,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed
86,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,65,Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal
87,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,90,Amount deviates from customer behavior | Country differs from customer pattern | Transaction velocity abnormal | Device recently changed
88,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,90,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed
89,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,95,Amount deviates from customer behavior | Country differs from customer pattern | Transaction velocity abnormal | High-risk merchant
90,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,80,Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | Device recently changed
91,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,75,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern
92,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,80,Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed | High-risk merchant
93,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,60,Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed
94,FRAUD,SUSPICIOUS,TP,FRAUD,TP,FRAUD,TP,95,Amount deviates from customer behavior | Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal
95,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,SUSPICIOUS,TP,35,Transaction velocity abnormal | Device recently changed
96,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,65,Country differs from customer pattern | Transaction velocity abnormal | High-risk merchant
97,FRAUD,FRAUD,TP,FRAUD,TP,FRAUD,TP,80,Country differs from customer pattern | Merchant category differs from customer pattern | Transaction velocity abnormal | Device recently changed
98,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,FRAUD,TP,60,Country differs from customer pattern | Merchant category differs from customer pattern | Device recently changed
99,LEGIT,LEGIT,TN,LEGIT,TN,LEGIT,TN,20,Merchant category differs from customer pattern
100,SUSPICIOUS,SUSPICIOUS,TP,SUSPICIOUS,TP,SUSPICIOUS,TP,25,Country differs from customer pattern
